Seed, Total Flockability, RC Flockability, Solvability
266,94,32,1
267,106,54,1
268,82,34,1
269,94,36,1
270,90,28,1
271,98,44,1
272,96,34,1
273,92,34,1
274,100,42,1
275,98,40,1
276,92,42,1
277,98,36,1
278,102,38,1
279,98,38,1
280,88,38,1
281,98,32,1
282,90,36,1
283,92,40,1
284,92,42,1
285,98,40,1
286,92,40,1
287,82,34,1
288,102,36,1
289,92,34,1
290,82,30,1
291,118,46,1
292,96,48,1
293,92,42,1
294,98,36,1
295,94,38,1
296,106,42,1
297,94,34,1
298,108,42,1
299,92,36,1
300,102,42,1
301,92,32,1
302,84,32,1
303,98,48,1
304,90,32,1
305,90,40,1
306,90,40,1
307,84,30,1
308,92,48,1
309,92,32,1
310,88,30,1
311,96,44,1
312,102,40,1
313,100,32,1
314,112,46,1
315,104,34,1
316,86,30,1
317,98,28,1
318,100,34,1
319,96,44,1
320,120,44,1
321,110,40,1
322,98,38,1
323,90,32,1
324,98,40,1
325,96,36,1
326,98,46,1
327,94,34,1
328,100,34,1
329,84,34,1
330,90,36,1
331,96,38,1
332,94,40,1
333,108,54,1
334,102,28,1
335,110,52,1
336,96,30,1
337,94,38,1
338,100,46,1
339,92,28,1
340,92,30,1
341,86,40,1
342,108,42,1
343,96,40,1
344,92,38,1
345,100,40,1
346,96,40,1
347,106,42,1
348,94,44,1
349,94,40,1
350,90,36,1
351,86,46,1
352,92,32,1
353,106,42,1
354,98,42,1
355,90,40,1
356,98,36,1
357,88,42,1
358,84,40,1
359,106,40,1
360,98,48,1
361,118,42,1
362,94,44,1
363,100,44,1
364,90,34,1
365,106,48,1
366,78,30,1
367,98,40,1
368,104,40,1
369,100,46,1
370,100,44,1
371,96,40,1
372,98,40,1
373,106,48,1
374,104,48,1
375,104,32,1
376,92,42,1
377,102,40,1
378,100,42,1
379,104,34,1
380,102,42,1
381,98,44,1
382,102,42,1
383,100,38,1
384,92,36,1
385,96,42,1
386,88,32,1
387,104,40,1
388,100,36,1
389,98,44,1
390,98,42,1
391,120,54,1
392,92,26,1
393,100,40,1
394,104,42,1
395,90,40,1
396,104,54,1
397,104,32,0
398,106,48,1
399,90,34,1
400,94,34,1
401,90,36,1
402,90,38,1
403,100,50,1
404,96,38,1
405,86,36,1
406,100,38,1
407,104,48,1
408,100,26,1
409,128,52,1
410,80,38,1
411,102,42,1
412,92,30,1
413,94,36,1
414,98,46,1
415,98,44,1
416,102,44,1
417,90,42,1
418,92,42,1
419,88,42,1
420,92,44,1
421,118,50,1
422,96,44,1
423,94,42,1
424,104,38,1
425,96,30,1
426,96,34,1
427,106,42,1
428,110,44,1
429,98,40,1
430,102,46,1
431,82,34,1
432,92,38,1
433,92,40,1
434,98,40,1
435,86,32,1
436,86,30,1
437,94,38,1
438,92,32,1
439,98,48,1
440,106,38,1
441,94,26,1
442,102,54,1
443,90,36,1
444,96,38,1
445,96,34,1
446,108,54,1
447,96,42,1
448,112,52,1
449,112,44,1
450,98,40,1
451,100,44,1
452,94,36,1
453,86,50,1
454,90,32,1
455,92,34,1
456,106,40,1
457,108,44,1
458,108,52,1
459,96,44,1
460,114,54,1
461,92,36,1
462,96,38,1
463,96,32,1
464,102,42,1
465,94,34,1
466,98,42,1
467,90,38,1
468,100,38,1
469,110,50,1
470,92,32,1
471,100,34,1
472,104,38,1
473,92,40,1
474,92,48,1
475,102,40,1
476,98,40,1
477,90,30,1
478,98,38,1
479,94,38,1
480,96,38,1
481,100,44,1
482,92,38,1
483,96,40,1
484,94,36,1
485,84,36,1
486,96,32,1
487,94,38,1
488,86,22,1
489,96,44,1
490,100,34,1
491,86,34,1
492,94,40,1
493,114,50,1
494,98,34,1
495,108,42,1
496,104,42,1
497,92,30,1
498,106,38,1
499,92,28,1
500,104,34,1
501,92,38,1
502,90,34,1
503,100,42,1
504,94,40,1
505,104,38,1
506,96,46,1
507,82,34,1
508,78,30,1
509,80,36,1
510,88,48,1
511,98,36,1
512,92,34,1
513,96,36,1
514,90,36,1
515,96,42,1
516,86,38,1
517,98,40,1
518,96,38,1
519,90,38,1
520,100,40,0
521,90,34,1
522,90,44,1
523,84,24,1
524,88,28,1
525,106,38,1
526,90,32,1
527,98,30,1
528,108,44,1
529,88,40,1
530,86,34,1
531,104,50,1
532,86,34,1
533,110,42,1
534,96,38,1
535,100,40,1
536,94,30,1
537,90,32,1
538,88,36,1
539,94,40,1
540,96,46,1
541,90,34,1
542,92,40,1
543,98,32,1
544,90,48,1
545,88,38,1
546,90,48,1
547,84,42,1
548,92,30,1
549,90,28,1
550,100,32,1
551,94,34,1
552,86,30,1
553,96,36,1
554,90,44,1
555,88,34,1
556,122,46,1
557,88,36,1
558,90,38,1
559,104,52,1
560,96,32,1
561,90,36,1
562,110,44,1
563,98,38,1
564,106,38,1
565,94,34,1
566,96,46,1
567,94,40,1
568,88,34,1
569,92,34,1
570,82,26,1
571,104,32,1
572,96,50,1
573,100,44,1
574,112,40,1
575,90,30,1
576,100,44,1
577,80,48,1
578,104,38,1
579,100,32,1
580,92,40,1
581,94,28,1
582,128,54,1
583,98,34,1
584,100,46,1
585,108,42,1
586,100,36,1
587,94,42,1
588,110,50,1
589,86,30,1
590,106,36,1
591,102,46,1
592,92,40,1
593,74,28,1
594,86,26,1
595,90,28,1
596,96,46,1
597,98,38,1
598,92,46,1
599,104,50,1
600,92,34,1
601,94,44,1
602,98,36,1
603,92,42,1
604,96,30,1
605,102,50,1
606,100,38,1
607,90,36,1
608,98,30,1
609,104,40,1
610,104,56,1
611,116,44,1
612,98,38,1
613,104,34,1
614,106,62,1
615,106,46,1
616,114,48,1
617,96,30,1
618,90,38,1
619,112,38,1
620,90,44,1
621,98,32,1
622,98,44,1
623,88,38,1
624,92,38,1
625,94,32,1
626,98,46,1
627,108,38,1
628,102,48,1
629,90,46,1
630,92,28,1
631,102,48,1
632,96,50,1
633,82,38,1
634,92,32,1
635,88,38,1
636,102,42,1
637,104,38,1
638,104,42,1
639,100,42,1
640,104,32,1
641,88,34,1
642,100,32,1
643,102,42,1
644,96,34,1
645,86,28,1
646,102,48,1
647,94,34,1
648,100,34,1
649,102,44,1
650,90,42,1
651,92,38,1
652,94,34,1
653,104,42,1
654,110,44,1
655,108,46,1
656,90,38,1
657,92,36,1
658,92,36,1
659,94,32,1
660,106,46,1
661,88,28,1
662,88,38,1
663,82,28,1
664,104,34,1
665,100,40,1
666,96,40,1
667,104,34,1
668,94,42,1
669,110,38,1
670,94,38,1
671,98,38,1
672,90,42,1
673,114,46,1
674,90,40,1
675,86,34,1
676,100,40,1
677,102,46,1
678,100,40,1
679,100,34,1
680,100,34,1
681,86,20,1
682,98,38,1
683,114,40,1
684,84,30,1
685,90,30,1
686,102,42,1
687,104,42,1
688,94,36,1
689,112,42,1
690,96,40,1
691,110,46,1
692,96,50,1
693,94,30,1
694,102,44,1
695,98,34,1
696,88,28,1
697,86,36,1
698,94,38,1
699,86,42,1
700,104,44,1
701,100,46,1
702,104,48,1
703,96,48,1
704,112,44,1
705,92,28,1
706,104,34,1
707,100,38,1
708,100,54,1
709,90,38,1
710,94,36,1
711,92,40,1
712,92,40,1
713,88,40,1
714,96,40,1
715,92,34,1
716,96,48,1
717,102,46,1
718,98,50,1
719,104,44,1
720,100,42,1
721,94,38,1
722,102,38,1
723,90,34,1
724,92,34,1
725,92,38,1
726,90,36,1
727,90,38,1
728,98,36,1
729,96,38,1
730,100,36,1
731,84,36,1
732,84,34,1
733,94,38,1
734,110,44,1
735,98,32,1
736,96,34,1
737,94,38,1
738,114,48,1
739,90,46,1
740,96,38,1
741,100,42,1
742,94,34,1
743,116,42,1
744,92,28,1
745,88,36,1
746,98,48,1
747,100,44,1
748,104,32,1
749,96,30,1
750,92,34,1
751,88,40,1
752,96,44,1
753,98,36,1
754,94,36,1
755,108,42,1
756,100,38,1
757,98,34,1
758,106,40,1
759,88,40,1
760,96,42,1
761,92,36,1
762,98,32,1
763,96,38,1
764,104,38,1
765,96,42,1
766,92,30,1
767,96,40,1
768,96,44,1
769,88,38,1
770,92,34,1
771,84,34,1
772,92,36,1
773,114,44,1
774,92,44,1
775,102,30,1
776,102,32,1
777,116,54,1
778,92,42,1
779,84,34,1
780,116,52,1
781,94,40,1
782,100,42,1
783,88,44,1
784,96,42,1
785,92,30,1
786,92,34,1
787,98,40,1
788,88,46,1
789,84,36,1
790,96,46,1
791,86,32,1
792,102,44,1
793,94,32,1
794,98,40,1
795,86,34,1
796,108,40,1
797,92,42,1
798,104,44,1
799,94,42,1
800,90,40,1
801,92,42,1
802,104,54,1
803,98,42,1
804,98,30,1
805,92,40,1
806,88,36,1
807,92,28,1
808,94,34,1
809,98,46,1
810,102,36,1
811,86,32,1
812,100,38,1
813,90,36,1
814,90,38,1
815,104,42,1
816,88,34,1
817,96,44,1
818,94,50,1
819,94,36,1
820,94,32,1
821,102,38,1
822,106,42,1
823,98,40,1
824,94,32,1
825,98,34,1
826,84,32,1
827,102,54,1
828,106,44,1
829,82,40,1
830,106,44,1
831,106,38,1
832,92,40,1
833,96,30,1
834,102,42,1
835,94,34,1
836,106,40,1
837,104,40,1
838,92,38,1
839,92,38,1
840,94,42,1
841,100,42,1
842,100,40,1
843,84,36,1
844,100,36,1
845,90,44,1
846,98,34,1
847,116,48,1
848,102,44,1
849,104,30,1
850,108,44,1
851,84,34,1
852,98,36,1
853,98,38,1
854,90,30,1
855,94,48,1
856,104,48,1
857,96,38,1
858,104,40,1
859,90,36,1
860,94,36,1
861,104,50,1
862,102,38,1
863,94,50,1
864,94,26,1
865,88,42,1
866,98,50,1
867,102,34,1
868,102,46,1
869,94,38,1
870,102,46,1
871,102,38,1
872,96,34,1
873,88,32,1
874,84,36,1
875,98,38,1
876,94,28,1
877,92,32,1
878,110,48,1
879,92,40,1
880,84,36,1
881,100,30,1
882,106,26,1
883,102,40,1
884,100,44,1
885,86,36,1
886,98,36,1
887,96,44,1
888,110,42,1
889,80,24,1
890,94,44,1
891,116,42,1
892,94,40,1
893,110,42,1
894,88,34,1
895,82,42,1
896,94,36,1
897,92,44,1
898,102,32,1
899,88,32,1
900,108,44,1
901,106,44,1
902,98,28,1
903,94,46,1
904,86,36,1
905,98,44,1
906,94,46,1
907,90,32,1
908,106,44,1
909,98,30,1
910,94,28,1
911,90,48,1
912,92,38,1
913,114,52,1
914,90,32,1
915,112,44,1
916,96,42,1
917,82,32,1
918,96,34,1
919,94,44,1
920,110,40,1
921,96,42,1
922,108,44,1
923,102,42,1
924,96,36,1
925,100,32,1
926,90,26,1
927,92,28,1
928,86,40,1
929,102,42,1
930,106,52,1
931,100,34,1
932,120,58,1
933,86,32,1
934,92,38,1
935,100,36,1
936,94,36,1
937,92,30,1
938,86,40,1
939,108,48,1
940,108,36,1
941,114,38,1
942,96,42,1
943,88,38,1
944,102,44,1
945,88,42,1
946,94,40,1
947,86,30,1
948,102,44,1
949,96,40,1
950,106,42,1
951,88,44,1
952,108,46,1
953,98,40,1
954,110,42,1
955,104,34,1
956,88,32,1
957,96,40,1
958,104,40,1
959,98,46,1
960,92,36,1
961,86,32,1
962,86,36,1
963,112,40,1
964,88,30,1
965,90,50,1
966,78,34,1
967,96,32,1
968,92,46,1
969,116,54,1
970,104,36,1
971,94,42,1
972,82,36,1
973,96,40,1
974,100,38,1
975,92,46,1
976,100,30,1
977,88,48,1
978,100,38,1
979,88,38,1
980,86,36,1
981,92,32,1
982,102,46,1
983,100,38,1
984,102,46,1
985,94,38,1
986,112,44,1
987,86,40,1
988,100,36,1
989,100,36,1
990,96,40,1
991,104,34,1
992,86,28,1
993,94,40,1
994,94,34,1
995,92,48,1
996,104,50,1
997,96,40,1
998,96,38,1
999,100,34,1
1000,102,32,1
1001,112,46,1
1002,92,30,1
1003,96,38,1
1004,102,38,1
1005,100,44,1
1006,104,36,1
1007,112,36,1
1008,112,44,1
1009,94,42,1
1010,96,42,1
1011,100,40,1
1012,98,32,1
1013,90,38,1
1014,92,30,1
1015,96,36,1
1016,114,48,1
1017,80,40,1
1018,92,46,1
1019,108,46,1
1020,102,40,1
1021,98,42,1
1022,112,46,1
1023,90,30,1
1024,96,46,1
1025,98,38,1
1026,110,42,1
1027,94,40,1
1028,102,38,1
1029,94,40,1
1030,104,36,1
1031,108,38,1
1032,98,42,1
1033,100,44,1
1034,100,40,1
1035,102,28,1
1036,100,34,1
1037,102,38,1
1038,96,38,1
1039,82,28,1
1040,102,38,1
1041,102,48,1
1042,102,38,1
1043,88,40,1
1044,104,42,1
1045,96,36,1
1046,96,36,1
1047,100,42,1
1048,128,56,1
1049,100,44,1
1050,102,32,1
1051,96,30,1
1052,110,58,1
1053,94,46,1
1054,90,40,1
1055,86,50,1
1056,100,46,1
1057,92,38,1
1058,92,32,1
1059,88,26,1
1060,90,34,1
1061,94,36,1
1062,90,28,1
1063,102,42,1
1064,92,32,1
1065,92,44,1
1066,84,44,1
1067,102,38,1
1068,94,46,1
1069,96,44,1
1070,88,36,1
1071,84,36,1
1072,112,44,1
1073,98,32,1
1074,100,40,1
1075,90,34,1
1076,104,48,1
1077,84,44,1
1078,100,30,1
1079,102,34,1
1080,88,40,1
1081,96,34,1
1082,102,38,1
1083,98,38,1
1084,96,44,1
1085,92,44,1
1086,104,36,1
1087,98,48,1
1088,106,50,1
1089,96,34,1
1090,104,38,1
1091,84,34,1
1092,90,32,1
1093,98,40,1
1094,96,36,1
1095,98,44,1
1096,110,44,1
1097,86,36,1
1098,90,30,1
1099,92,34,1
1100,102,42,1
1101,92,30,1
1102,94,42,1
1103,84,36,1
1104,92,32,1
1105,86,44,1
1106,98,32,1
1107,78,32,1
1108,86,34,1
1109,94,40,1
1110,92,46,1
1111,104,40,1
1112,98,32,1
1113,106,46,1
1114,98,32,1
1115,104,34,1
1116,100,38,1
1117,98,38,1
1118,96,40,1
1119,96,44,1
1120,96,44,1
1121,104,34,1
1122,94,40,1
1123,98,34,1
1124,96,42,1
1125,114,44,1
1126,78,26,1
1127,90,28,1
1128,90,38,1
1129,86,38,1
1130,110,44,1
1131,100,38,1
1132,96,36,1
1133,98,36,1
1134,96,36,1
1135,102,36,1
1136,90,32,1
1137,110,44,1
1138,96,38,1
1139,82,26,1
1140,112,50,1
1141,86,34,1
1142,92,36,1
1143,102,44,1
1144,98,38,1
1145,102,42,1
1146,96,38,1
1147,100,42,1
1148,106,44,1
1149,92,38,1
1150,88,34,1
1151,100,56,1
1152,94,28,1
1153,98,44,1
1154,94,46,1
1155,104,46,1
1156,96,30,1
1157,96,34,1
1158,98,32,1
1159,102,44,1
1160,108,40,1
1161,90,34,1
1162,82,40,1
1163,76,20,0
1164,92,50,1
1165,98,32,1
1166,80,28,1
1167,102,34,1
1168,102,38,1
1169,90,52,1
1170,98,48,1
1171,96,36,1
1172,100,44,1
1173,98,30,1
1174,96,44,1
1175,94,36,1
1176,110,46,1
1177,104,46,1
1178,100,38,1
1179,84,22,1
1180,94,38,1
1181,116,50,1
1182,92,40,1
1183,86,34,1
1184,100,48,1
1185,92,24,1
1186,94,42,1
1187,92,38,1
1188,88,28,1
1189,90,38,1
1190,98,38,1
1191,94,38,1
1192,94,38,1
1193,96,48,1
1194,98,46,1
1195,98,42,1
1196,106,44,1
1197,110,50,1
1198,98,34,1
1199,108,46,1
1200,92,30,1
1201,94,42,1
1202,102,50,1
1203,114,34,1
1204,104,40,1
1205,102,44,1
1206,108,38,1
1207,92,30,1
1208,90,36,1
1209,124,48,1
1210,114,46,1
1211,94,30,1
1212,110,42,1
1213,114,50,1
1214,82,36,1
1215,98,46,1
1216,96,34,1
1217,104,46,1
1218,94,40,1
1219,90,34,1
1220,84,34,1
1221,94,34,1
1222,94,46,1
1223,104,40,1
1224,110,40,1
1225,100,36,1
1226,84,32,1
1227,92,36,1
1228,98,32,1
1229,88,26,1
1230,96,40,1
1231,108,48,1
1232,116,50,1
1233,106,50,1
1234,96,38,1
1235,98,26,1
1236,110,40,1
1237,86,42,1
1238,120,48,1
1239,82,32,1
1240,98,32,1
1241,98,52,1
1242,88,26,1
1243,100,40,1
1244,108,46,1
1245,86,30,1
1246,92,30,1
1247,98,32,1
1248,112,54,1
1249,88,38,1
1250,84,36,1
1251,110,38,1
1252,100,46,1
1253,116,50,1
1254,88,30,1
1255,98,30,1
1256,86,30,1
1257,96,38,1
1258,104,42,1
1259,96,40,1
1260,92,40,1
1261,88,40,1
1262,92,34,1
1263,100,38,1
1264,94,38,0
1265,100,38,1
1266,78,30,1
1267,94,32,1
1268,96,42,1
1269,88,38,1
1270,92,28,1
1271,88,40,1
1272,98,36,1
1273,96,42,1
1274,100,44,1
1275,86,38,1
1276,90,32,1
1277,96,40,1
1278,102,46,1
1279,100,32,1
1280,92,44,1
1281,92,44,1
1282,100,44,1
1283,92,32,1
1284,88,38,1
1285,92,40,1
1286,82,36,1
1287,80,36,1
1288,98,42,1
1289,100,38,1
1290,90,36,1
1291,110,54,1
1292,94,36,1
1293,94,36,1
1294,88,42,1
1295,86,30,1
1296,88,26,1
1297,106,42,1
1298,116,44,1
1299,90,28,1
1300,102,40,1
1301,94,44,1
1302,90,30,1
1303,114,52,1
1304,94,44,1
1305,86,36,1
1306,88,34,1
1307,86,30,1
1308,100,40,1
1309,94,44,0
1310,92,32,1
1311,92,40,1
1312,88,46,1
1313,92,40,1
1314,98,48,1
1315,106,48,1
1316,94,24,1
1317,102,42,1
1318,96,36,1
1319,106,42,1
1320,80,36,1
1321,100,44,1
1322,90,34,1
1323,100,34,1
1324,98,34,1
1325,108,54,1
1326,90,36,1
1327,108,40,1
1328,90,38,1
1329,94,36,1
1330,98,44,1
1331,108,42,1
1332,106,40,1
1333,106,44,1
1334,96,42,1
1335,104,32,1
1336,84,24,1
1337,94,30,1
1338,88,40,1
1339,108,44,1
1340,108,36,1
1341,86,38,1
1342,116,48,1
1343,96,38,1
1344,96,38,1
1345,94,40,1
1346,98,44,1
1347,94,34,1
1348,100,38,1
1349,90,34,1
1350,110,46,1
1351,96,36,1
1352,90,34,1
1353,98,40,1
1354,90,30,1
1355,88,44,1
1356,108,44,1
1357,96,44,1
1358,104,36,1
1359,104,42,1
1360,104,44,1
1361,110,44,1
1362,112,52,1
1363,106,44,1
1364,90,36,1
1365,108,48,1
1366,98,40,1
1367,94,36,1
1368,98,34,1
1369,100,38,1
1370,96,38,1
1371,92,32,1
1372,98,46,1
1373,96,36,1
1374,88,38,1
1375,90,24,1
1376,84,34,1
1377,100,34,1
1378,92,34,1
1379,102,40,1
1380,98,46,1
1381,104,48,1
1382,88,36,1
1383,100,36,1
1384,102,44,1
1385,88,38,1
1386,92,38,1
1387,90,36,1
1388,84,34,1
1389,102,40,1
1390,100,42,1
1391,100,38,1
1392,98,38,1
1393,84,30,1
1394,90,42,1
1395,98,34,1
1396,96,38,1
1397,90,38,1
1398,98,44,1
1399,96,42,1
1400,88,34,1
1401,94,34,1
1402,90,36,1
1403,88,34,1
1404,98,36,1
1405,88,38,1
1406,94,48,1
1407,100,40,1
1408,86,34,1
1409,98,40,1
1410,104,32,1
1411,94,36,1
1412,92,44,1
1413,102,42,1
1414,94,42,1
1415,108,44,1
1416,108,48,1
1417,98,38,1
1418,86,42,1
1419,86,30,1
1420,94,38,1
1421,98,46,1
1422,86,30,1
1423,96,42,1
1424,100,46,1
1425,92,28,1
1426,104,44,1
1427,92,40,1
1428,88,34,1
1429,96,32,1
1430,100,38,1
1431,104,46,1
1432,96,48,1
1433,92,36,1
1434,114,48,1
1435,104,50,1
1436,106,42,1
1437,94,40,1
1438,90,40,1
1439,92,30,1
1440,102,36,1
1441,94,38,1
1442,98,34,1
1443,96,42,1
1444,94,26,1
1445,94,38,1
1446,98,38,1
1447,92,36,1
1448,106,46,1
1449,98,32,1
1450,86,22,1
1451,90,32,1
1452,84,22,1
1453,98,38,1
1454,96,50,1
1455,104,38,1
1456,114,48,1
1457,106,46,1
1458,90,36,1
1459,102,42,1
1460,106,42,1
1461,94,30,1
1462,102,42,1
1463,114,46,1
1464,98,28,1
1465,100,46,1
1466,82,38,1
1467,130,50,1
1468,96,38,1
1469,92,34,1
1470,100,36,1
1471,86,36,1
1472,98,38,1
1473,114,48,1
1474,98,34,1
1475,96,42,1
1476,84,32,1
1477,94,34,1
1478,96,44,1
1479,94,34,1
1480,90,32,1
1481,94,32,1
1482,94,30,1
1483,104,48,1
1484,112,38,1
1485,104,52,1
1486,98,42,1
1487,96,30,1
1488,96,36,1
1489,90,34,1
1490,94,38,1
1491,92,36,1
1492,102,42,1
1493,102,48,1
1494,94,46,1
1495,94,46,1
1496,106,36,1
1497,100,40,1
1498,92,36,1
1499,96,40,1
1500,88,32,1
1501,90,40,1
1502,102,38,1
1503,96,42,1
1504,84,32,1
1505,100,50,1
1506,100,42,1
1507,82,32,1
1508,96,38,1
1509,96,38,1
1510,114,44,1
1511,92,32,1
1512,90,28,1
1513,102,36,1
1514,92,42,1
1515,94,36,1
1516,88,32,1
1517,96,34,1
1518,96,42,1
1519,128,48,1
1520,92,32,1
1521,84,32,1
1522,98,32,1
1523,82,36,1
1524,96,30,1
1525,88,30,1
1526,108,44,1
1527,112,52,1
1528,106,50,1
1529,108,36,1
1530,104,42,1
1531,88,34,1
1532,96,40,1
1533,96,38,1
1534,94,44,1
1535,98,38,1
1536,104,44,1
1537,106,36,1
1538,106,44,1
1539,100,38,1
1540,94,34,1
1541,86,34,1
1542,110,46,1
1543,104,38,1
1544,100,48,1
1545,98,40,1
1546,96,40,1
1547,100,32,1
1548,84,40,1
1549,106,48,1
1550,116,34,1
1551,88,30,1
1552,108,46,1
1553,94,34,1
1554,98,46,1
1555,102,46,1
1556,108,42,1
1557,96,36,1
1558,92,28,1
1559,106,38,1
1560,102,42,1
1561,100,44,1
1562,80,28,1
1563,96,42,1
1564,94,36,1
1565,96,46,1
1566,84,40,1
1567,108,38,1
1568,90,40,1
1569,92,34,1
1570,106,42,1
1571,98,32,1
1572,122,44,1
1573,96,30,1
1574,94,38,1
1575,104,40,1
1576,106,36,1
1577,86,32,1
1578,90,28,1
1579,98,36,1
1580,94,28,1
1581,92,32,1
1582,100,46,1
1583,96,44,1
1584,90,38,1
1585,80,24,1
1586,92,36,1
1587,88,30,1
1588,88,42,1
1589,88,48,1
1590,92,42,1
1591,98,30,1
1592,94,38,1
1593,102,34,1
1594,100,38,1
1595,108,40,1
1596,88,32,1
1597,96,32,1
1598,104,34,1
1599,104,46,1
1600,84,22,1
1601,98,40,1
1602,106,42,1
1603,94,40,1
1604,92,38,1
1605,88,44,1
1606,96,32,1
1607,110,44,1
1608,106,50,1
1609,100,34,1
1610,100,48,1
1611,112,42,1
1612,100,34,1
1613,94,46,1
1614,108,40,1
1615,90,34,1
1616,88,34,1
1617,84,38,1
1618,90,42,1
1619,94,40,1
1620,102,36,1
1621,116,50,1
1622,94,40,1
1623,104,48,1
1624,92,44,1
1625,92,48,1
1626,100,28,1
1627,92,38,1
1628,96,40,1
1629,92,36,1
1630,88,28,1
1631,84,44,1
1632,84,32,1
1633,102,34,1
1634,96,50,1
1635,108,38,1
1636,110,44,1
1637,102,42,1
1638,86,46,1
1639,94,30,1
1640,104,38,1
1641,102,38,1
1642,98,40,1
1643,98,40,1
1644,94,36,1
1645,100,46,1
1646,108,50,0
1647,108,42,1
1648,90,30,1
1649,94,38,1
1650,92,34,1
1651,82,36,1
1652,88,34,1
1653,94,32,1
1654,92,24,1
1655,104,40,1
1656,100,38,1
1657,86,42,1
1658,94,38,1
1659,100,38,1
1660,90,40,1
